Livraison,Nombre de lignes,Nombre de colonnes,Complétude globale (%),Complétude communes (%),Taux de doublons (%),Lignes valides (%),Colonne puissance utilisée
J-n_avant_enrichissement,160255,72,89.93,60.43,0.07,60.43,puissance_nominale
J_final,160255,73,90.22,99.91,0.07,99.91,puissance_nominale
